
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   ------  Yld  -----
          Mkt   High    Low   High    Low   High    Low   High    Low   Zero
198312   3.81   5.00   2.48   5.03   2.33   5.74   2.31   5.23   2.39   2.63
198401   4.01   4.70   2.03   5.62   0.96   5.09   1.21   5.52   0.71   5.74
198402   0.94   0.74   0.50   0.86  -0.05  -0.23   0.09   1.58  -0.30  -2.04
198403   8.44   7.08   7.27   6.47   7.24   5.80   6.80   7.66   6.63   3.88
198404  -1.62  -2.26  -2.71  -0.86  -1.94  -1.99  -2.95  -0.63  -3.13  -1.79
198405  -9.92  -9.44 -10.71  -9.38 -10.07  -8.82  -9.48  -8.30 -11.14  -7.14
198406  -0.81  -1.41   0.27  -1.26   0.26  -1.60  -0.64  -1.70  -0.07   0.26
198407  -6.20  -5.57  -6.61  -5.82  -5.96  -5.67  -5.98  -5.44  -5.96  -9.34
198408   9.48   7.70  10.96   8.99  10.61   9.88  11.20   6.69  11.92   8.04
198409  -0.77  -2.52   0.81  -1.26  -0.49  -1.32  -0.29  -2.06  -0.06  -2.88
198410   1.75   2.29   1.18   2.12   1.85   0.23   1.63   1.90   0.39   0.94
198411   0.46   1.40  -1.19   1.06  -1.41  -0.27  -1.73   2.18  -3.08  -3.64
198412   2.04   5.85  -0.31   4.24  -0.28   4.48   0.05   5.37  -0.12  -0.68
198501   2.73   3.86   2.35   2.75   2.60   1.68   3.04   0.83   2.96   8.11
198502  -0.44  -2.55   1.18  -2.17   1.59  -1.81  -3.89  -2.89   0.92   1.88
198503   7.23   5.62   7.91   4.87   7.79   6.55   6.03   8.28   5.72  20.37
198504  -0.63   0.41  -1.28   0.62  -1.74  -0.48  -0.03   0.10  -1.25   2.00
198505   4.55   3.04   5.52   3.37   4.95   4.91   2.14   7.08   3.30   7.28
198506   1.99   2.78   1.71   2.41   2.14   2.42  -1.00   2.39   1.39   2.09
198507   5.58   6.62   6.08   3.87   5.95   5.39   5.25   7.54   4.57   3.47
198508   2.96   4.03   2.07   3.62   1.90   4.47   3.97   4.81   1.53   0.82
198509   4.79   5.51   2.79   7.01   2.86   8.81   3.94  11.07   2.10   3.84
198510   6.04   5.20   7.00   5.65   5.97   3.05   7.96   1.47   8.57   5.94
198511   4.43   4.60   4.75   3.83   4.08   3.76   4.60   3.03   4.69   2.19
198512   4.27   3.58   3.77   4.91   4.21   6.56   4.05   3.60   4.59   7.93
198601   2.23   3.92   1.34   3.69   2.05   3.01   4.55   2.54   2.33   5.71
198602  10.30   8.76  10.08   7.94  10.01   8.70   9.17  12.90   9.18  12.00
198603  13.40  11.13  14.44  10.77  13.86  11.84  12.79  12.66  13.00  11.81
198604   6.00   8.93   4.68  10.57   3.51   8.19   6.56   4.90   4.83   5.89
198605  -2.56  -4.26  -1.48  -4.53  -1.44  -5.04  -0.89  -3.06  -1.79   1.97
198606   4.98   4.37   4.79   4.53   3.89   4.47   4.42   7.19   3.74   6.52
198607   6.36   0.56   8.87   1.65   6.97   8.04   4.54  12.60   5.97   7.62
198608   8.67  12.30   8.44  10.28   7.62  10.88   4.54   7.95   7.25  -0.17
198609   0.10   2.14  -0.18   1.35  -2.91   5.90  -1.34   3.86  -2.12  -7.11
198610  -5.89  -5.65  -6.07  -3.89  -4.94  -5.90  -4.81  -9.08  -3.51  -4.86
198611   4.53   2.84   4.80   2.48   5.48   1.86   6.39   3.91   5.14   5.06
198612   5.76   5.91   6.52   5.77   6.62   6.00   6.51   5.58   6.65   0.94
198701  12.52   4.80  16.62   4.17  13.34   5.11   5.13   7.96  15.93   7.98
198702   1.84   1.97   2.48   0.74   1.62   2.36   5.10   2.99   1.68   9.23
198703   8.63   5.38   9.72   4.34  10.12   3.71   6.80   7.18   9.91  10.00
198704  10.84   8.38  11.79   7.64  10.48   8.98   5.97   8.95  11.85  14.97
198705  -0.81   3.32  -2.74   2.14  -1.16   0.05   2.70  -0.49  -2.25  -1.55
198706  -3.19   4.49  -5.79   3.30  -3.71   2.63  -2.83   0.01  -5.44  -5.73
198707   0.69   3.79  -0.19   3.52  -0.20   1.25   2.04  -0.01   0.50   1.06
198708   6.86   3.92   8.11   4.79   6.58   4.59   5.45   7.68   7.46  12.38
198709  -1.29   4.96  -3.47   3.92  -2.56   4.48  -1.65   1.03  -3.22   2.32
198710 -14.95 -16.87 -14.95 -16.08 -14.57 -15.78 -16.92 -11.59 -16.56  -8.38
198711   1.14   1.77   1.04   1.88   0.90   1.01   1.45   1.16   1.41   0.97
198712   3.61   6.59   2.03   6.52   3.52   4.47   4.99   4.41   2.71  -3.98
198801   1.11  -0.46   1.24   1.11  -0.03  -0.72  -1.14   0.21   0.89   3.07
198802   6.81   8.12   5.99   9.49   5.05   8.22   4.37   9.01   5.40   6.56
198803   5.80   7.79   5.23   6.55   5.66   7.14   5.12   6.11   4.95  13.07
198804   1.34   2.81   0.56   1.32   1.76   3.03   2.13   2.13   0.56  -1.78
198805  -2.90  -2.28  -3.52  -3.63  -2.86  -3.32  -3.29  -1.37  -4.28   7.38
198806  -1.88   0.88  -3.31  -0.91  -2.91   0.76  -4.65   2.15  -3.26   3.56
198807   2.39   6.69   1.35   5.06   1.50   8.71   1.30   3.34   1.34   1.30
198808  -6.42  -8.12  -6.04  -7.74  -5.51  -9.11  -5.41  -7.22  -6.17  -8.61
198809   3.52   3.85   2.20   3.26   2.04   3.96   0.24   5.95   1.00   9.58
198810   6.50   5.57   6.19   7.50   4.44   5.58   1.41   8.79   5.23  11.55
198811   6.54   6.35   6.01   6.56   5.71   6.16   4.12   6.30   6.53   9.81
198812   0.44   2.84   0.29   2.94  -0.11   2.95  -1.75   1.41   0.52  -4.01
198901   1.38   2.39   0.29   2.26   0.79   2.22   1.73   3.69  -0.69   4.11
198902   0.53   0.49   0.13   0.74   0.58  -1.19   1.37   1.13  -1.06   7.05
198903  -2.14  -0.44  -2.70  -2.32  -2.65  -4.24  -0.49  -2.64  -3.13   2.48
198904   1.32   2.67   0.52   1.32   1.41   2.08   1.36   2.98   0.09   5.23
198905  -4.57  -2.01  -5.58  -2.54  -6.05  -1.26  -5.52  -3.64  -4.61  -2.79
198906  -1.81  -1.00  -1.95  -1.32  -2.04  -1.78  -2.32  -2.18  -0.81  -4.64
198907  12.14   9.82  13.19  11.20  13.41  10.45  12.59  11.09  13.19   8.22
198908  -4.60  -3.28  -4.62  -3.55  -5.78  -5.24  -5.02  -5.97  -3.83  -8.88
198909   5.16   5.99   4.61   5.24   5.70   4.09   6.11   5.22   4.58   4.90
198910  -4.33  -3.97  -4.37  -4.02  -4.55  -3.70  -2.22  -3.60  -5.67  -4.30
198911   5.02   2.83   5.82   4.08   6.28   4.19   3.97   4.94   4.96   7.45
198912   3.91   4.36   3.24   3.31   3.42   3.28   2.60   3.38   4.32   3.97
199001  -3.65  -1.81  -4.79  -2.23  -4.80  -2.53  -4.21  -2.85  -4.61  -4.06
