date,us_equity,intl_equity,bonds,cash,inflation
1987-12,-0.013330,-0.013330,0.028730,0.003900,0.000000
1988-01,0.042482,0.042482,0.038364,0.002900,0.002600
1988-02,0.033301,0.033301,-0.003915,0.004600,0.002593
1988-03,0.032336,0.032336,-0.016205,0.004400,0.004310
1988-04,-0.008831,-0.008831,-0.016856,0.004600,0.005150
1988-05,-0.021853,-0.021853,0.018738,0.005100,0.003416
1988-06,0.060012,0.060012,-0.001706,0.004900,0.004255
1988-07,-0.003046,-0.003046,-0.005396,0.005100,0.004237
1988-08,-0.017161,-0.017161,0.026057,0.005900,0.004219
1988-09,0.019296,0.019296,0.019364,0.006200,0.006723
1988-10,0.038044,0.038044,-0.003156,0.006100,0.003339
1988-11,-0.020175,-0.020175,-0.002304,0.005700,0.000832
1988-12,0.023293,0.023293,0.008896,0.006300,0.001663
1989-01,0.035146,0.035146,0.002377,0.005500,0.004979
1989-02,0.033023,0.033023,-0.004605,0.006100,0.004129
1989-03,-0.001584,-0.001584,0.019491,0.006700,0.005757
1989-04,0.035670,0.035670,0.028717,0.006700,0.006541
1989-05,0.041182,0.041182,0.046527,0.007900,0.005686
1989-06,0.033973,0.033973,0.024645,0.007100,0.002423
1989-07,0.028015,0.028015,0.000565,0.007000,0.002417
1989-08,0.046939,0.046939,0.001338,0.007400,0.001608
1989-09,0.004599,0.004599,0.019115,0.006500,0.003210
1989-10,0.002879,0.002879,0.016292,0.006800,0.004800
1989-11,-0.018105,-0.018105,0.008622,0.006900,0.002389
1989-12,0.027401,0.027401,-0.018513,0.006100,0.001589
1990-01,-0.022093,-0.022093,-0.010563,0.005700,0.010309
1990-02,-0.025250,-0.025250,-0.000933,0.005700,0.004710
1990-03,0.027094,0.027094,-0.006048,0.006400,0.005469
1990-04,0.001989,0.001989,0.009308,0.006900,0.001554
1990-05,0.038538,0.038538,0.026035,0.006800,0.002327
1990-06,0.031725,0.031725,0.007736,0.006300,0.005418
1990-07,0.001713,0.001713,-0.011462,0.006800,0.003849
1990-08,-0.078599,-0.078599,-0.001914,0.006600,0.009202
1990-09,-0.043399,-0.043399,0.018667,0.006000,0.008359
1990-10,-0.023132,-0.023132,0.029433,0.006800,0.006029
1990-11,0.029862,0.029862,0.028094,0.005700,0.002247
1990-12,0.045886,0.045886,0.006053,0.006000,0.000000
1991-01,-0.006847,-0.006847,0.023243,0.005200,0.005979
1991-02,0.116069,0.116069,-0.011135,0.004800,0.001486
1991-03,0.030445,0.030445,0.011532,0.004400,0.001484
1991-04,0.022593,0.022593,0.004657,0.005300,0.001481
1991-05,-0.001787,-0.001787,-0.007448,0.004700,0.002959
1991-06,0.003472,0.003472,0.007575,0.004200,0.002950
1991-07,0.007814,0.007814,0.032276,0.004900,0.001471
1991-08,0.026799,0.026799,0.023922,0.004600,0.002937
1991-09,-0.003022,-0.003022,0.014741,0.004600,0.004392
1991-10,0.001811,0.001811,0.013981,0.004200,0.001458
1991-11,0.000152,0.000152,0.029638,0.003900,0.002911
1991-12,0.009346,0.009346,0.010184,0.003800,0.000726
1992-01,0.073589,0.073589,-0.015934,0.003400,0.001450
1992-02,-0.006000,-0.006000,-0.007821,0.002800,0.003621
1992-03,-0.010116,-0.010116,0.010476,0.003400,0.005051
1992-04,0.002643,0.002643,0.012546,0.003200,0.001436
1992-05,0.020684,0.020684,0.015329,0.002800,0.001434
1992-06,-0.013291,-0.013291,0.036232,0.003200,0.003579
1992-07,0.019126,0.019126,0.023866,0.003100,0.002140
1992-08,0.009422,0.009422,0.017938,0.002600,0.002847
1992-09,0.003789,0.003789,-0.007003,0.002600,0.002839
1992-10,-0.011823,-0.011823,-0.014603,0.002300,0.003539
1992-11,0.027568,0.027568,0.012934,0.002300,0.001410
1992-12,0.032713,0.032713,0.017989,0.002800,-0.000704
1993-01,0.001433,0.001433,0.030571,0.002300,0.004933
1993-02,0.017249,0.017249,0.026124,0.002200,0.003506
1993-03,0.021508,0.021508,0.005730,0.002500,0.003494
1993-04,-0.013415,-0.013415,-0.000238,0.002400,0.002786
1993-05,0.007250,0.007250,0.011012,0.002200,0.001389
1993-06,0.008654,0.008654,0.016253,0.002500,0.001387
1993-07,0.000610,0.000610,0.014681,0.002400,0.000000
1993-08,0.017625,0.017625,0.029307,0.002500,0.002770
1993-09,0.013550,0.013550,0.006774,0.002600,0.002072
1993-10,0.012423,0.012423,-0.025023,0.002200,0.004135
1993-11,0.000079,0.000079,0.000998,0.002500,0.000686
1993-12,0.008875,0.008875,0.006317,0.002300,0.000000
1994-01,0.017367,0.017367,-0.011643,0.002500,0.002743
1994-02,-0.000749,-0.000749,-0.032265,0.002100,0.003420
1994-03,-0.014231,-0.014231,-0.029611,0.002700,0.003408
1994-04,-0.033456,-0.033456,-0.009059,0.002700,0.001359
1994-05,0.010591,0.010591,0.011667,0.003200,0.000678
1994-06,0.011089,0.011089,-0.008168,0.003100,0.003390
1994-07,-0.005183,-0.005183,0.010320,0.002800,0.002703
1994-08,0.030826,0.030826,-0.009352,0.003700,0.004043
1994-09,0.008178,0.008178,-0.013127,0.003700,0.002685
1994-10,-0.004423,-0.004423,-0.008604,0.003800,0.000669
1994-11,-0.003684,-0.003684,0.016964,0.003700,0.001338
1994-12,-0.010244,-0.010244,0.008577,0.004400,0.000000
1995-01,0.024514,0.024514,0.028153,0.004200,0.004008
1995-02,0.038191,0.038191,0.025323,0.004000,0.003992
1995-03,0.025580,0.025580,0.015964,0.004600,0.003313
1995-04,0.032168,0.032168,0.037073,0.004400,0.003303
1995-05,0.033488,0.033488,0.039582,0.005400,0.001975
1995-06,0.031793,0.031793,-0.002962,0.004700,0.001971
1995-07,0.035487,0.035487,-0.010094,0.004500,0.000000
1995-08,0.005142,0.005142,0.026850,0.004700,0.002623
1995-09,0.037187,0.037187,0.017082,0.004300,0.001962
1995-10,0.009136,0.009136,0.013266,0.004700,0.003264
1995-11,0.023594,0.023594,0.021570,0.004200,-0.000651
1995-12,0.033901,0.033901,0.009306,0.004900,-0.000651
1996-01,0.001640,0.001640,-0.007331,0.004300,0.005863
1996-02,0.059058,0.059058,-0.029063,0.003900,0.003238
1996-03,-0.001994,-0.001994,-0.012276,0.003900,0.005165
1996-04,0.001978,0.001978,-0.011177,0.004600,0.003854
1996-05,0.023556,0.023556,-0.006562,0.004200,0.001919
1996-06,0.012793,0.012793,0.008629,0.004000,0.000639
1996-07,-0.034749,-0.034749,0.022401,0.004500,0.001914
1996-08,0.030774,0.030774,-0.008127,0.004100,0.001911
1996-09,0.020254,0.020254,0.027549,0.004400,0.003179
1996-10,0.041205,0.041205,0.029841,0.004200,0.003169
1996-11,0.050530,0.050530,-0.002194,0.004100,0.001895
1996-12,0.011991,0.011991,-0.015105,0.004600,0.000000
1997-01,0.032581,0.032581,0.017198,0.004500,0.003153
1997-02,0.043617,0.043617,-0.014182,0.003900,0.003143
1997-03,-0.006231,-0.006231,-0.008766,0.004300,0.002506
1997-04,-0.034049,-0.034049,0.018752,0.004300,0.001250
1997-05,0.092182,0.092182,0.021649,0.004900,-0.000624
1997-06,0.053372,0.053372,0.025354,0.003700,0.001249
1997-07,0.057365,0.057365,-0.000705,0.004300,0.001248
1997-08,0.003483,0.003483,0.011901,0.004100,0.001869
1997-09,0.011925,0.011925,0.018586,0.004400,0.002488
1997-10,0.016459,0.016459,0.016276,0.004200,0.002481
1997-11,-0.011515,-0.011515,0.010167,0.003900,-0.000619
1997-12,0.026351,0.026351,0.025407,0.004800,-0.001238
1998-01,0.002375,0.002375,0.002335,0.004300,0.001860
1998-02,0.064026,0.064026,-0.001421,0.003900,0.001856
1998-03,0.053132,0.053132,0.005467,0.003900,0.001853
1998-04,0.034065,0.034065,0.003942,0.004300,0.001850
1998-05,-0.002211,-0.002211,0.016154,0.004000,0.001846
1998-06,0.001172,0.001172,0.007641,0.004100,0.001229
1998-07,0.044682,0.044682,0.013773,0.004000,0.001227
1998-08,-0.069705,-0.069705,0.046185,0.004300,0.001225
1998-09,-0.048980,-0.048980,0.026343,0.004600,0.001224
1998-10,0.012911,0.012911,-0.019827,0.003200,0.002445
1998-11,0.109745,0.109745,0.018304,0.003100,0.000000
1998-12,0.041042,0.041042,-0.001660,0.003800,-0.000610
1999-01,0.050483,0.050483,-0.017924,0.003500,0.002441
1999-02,-0.000662,-0.000662,-0.013600,0.003500,0.001217
1999-03,0.029241,0.029241,0.008229,0.004300,0.003040
1999-04,0.042500,0.042500,-0.023103,0.003700,0.007273
